     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
    4694   2021-04-28  13:18:50        00:00    0.0    0.0      2036    703716    ./main
    4694   2021-04-28  13:18:51        00:01    412    0.0      2220    703716    ./main
    4694   2021-04-28  13:18:52        00:02    410    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:53        00:03    409    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:54        00:04    409    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:55        00:05    409    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:56        00:06    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:57        00:07    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:58        00:08    409    0.0      2484    703716    ./main
    4694   2021-04-28  13:18:59        00:09    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:00        00:10    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:01        00:11    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:02        00:12    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:03        00:13    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:04        00:14    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:05        00:15    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:06        00:16    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:07        00:17    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:08        00:18    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:09        00:19    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:10        00:20    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:11        00:21    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:12        00:22    408    0.0      2484    703716    ./main
    4694   2021-04-28  13:19:13        00:23    408    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:14        00:24    408    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:15        00:26    393    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:17        00:27    393    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:18        00:28    394    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:19        00:29    394    0.0      2736    703716    ./main
    4694   2021-04-28  13:19:20        00:30    395    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:21        00:31    395    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:22        00:32    396    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:23        00:33    396    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:24        00:34    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:25        00:35    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:26        00:36    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:27        00:37    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:28        00:38    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:29        00:39    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:30        00:40    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:31        00:41    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:32        00:42    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:33        00:43    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:34        00:44    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:35        00:45    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:36        00:46    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:37        00:47    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:38        00:48    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:39        00:49    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:40        00:50    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:41        00:51    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:42        00:52    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:43        00:53    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:44        00:54    401    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:45        00:55    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:46        00:56    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:47        00:57    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:48        00:58    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:49        00:59    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:50        01:00    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:51        01:01    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:52        01:02    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:53        01:03    402    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:54        01:05    396    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:55        01:06    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:57        01:07    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:58        01:08    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:19:59        01:09    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:00        01:10    397    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:01        01:11    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:02        01:12    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:03        01:13    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:04        01:14    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:05        01:15    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:06        01:16    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:07        01:17    398    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:08        01:18    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:09        01:19    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:10        01:20    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:11        01:21    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:12        01:22    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:13        01:23    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:14        01:24    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:15        01:25    399    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:16        01:26    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:17        01:27    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:18        01:28    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:19        01:29    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:20        01:30    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:21        01:31    400    0.0      3044    703716    ./main
    4694   2021-04-28  13:20:22        01:32    397    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:23        01:33    394    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:24        01:34    391    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:25        01:35    388    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:26        01:36    385    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:27        01:37    382    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:28        01:38    379    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:29        01:39    376    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:30        01:40    374    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:31        01:41    371    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:32        01:42    368    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:33        01:43    366    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:34        01:44    363    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:35        01:45    361    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:36        01:46    358    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:37        01:47    356    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:38        01:48    353    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:39        01:49    351    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:40        01:50    349    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:41        01:51    347    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:42        01:52    344    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:43        01:53    342    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:44        01:54    340    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:45        01:56    335    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:46        01:57    333    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:48        01:58    331    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:49        01:59    329    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:50        02:00    327    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:51        02:01    325    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:52        02:02    324    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:53        02:03    322    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:54        02:04    320    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:55        02:05    318    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:56        02:06    317    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:57        02:07    315    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:58        02:08    313    0.0      3296    704036    ./main
    4694   2021-04-28  13:20:59        02:09    311    0.0      3296    704036    ./main
    4694   2021-04-28  13:21:00        02:10    310    0.0      7728    705956    ./main
    4694   2021-04-28  13:21:01        02:11    311    0.0     13376    706468    ./main
    4694   2021-04-28  13:21:02        02:12    311    0.0     13324    706468    ./main
    4694   2021-04-28  13:21:03        02:13    310    0.0     13284    706468    ./main
    4694   2021-04-28  13:21:04        02:14    310    0.0     13344    706468    ./main
    4694   2021-04-28  13:21:05        02:15    309    0.0     13324    706468    ./main
    4694   2021-04-28  13:21:06        02:16    308    0.0     13476    706468    ./main
    4694   2021-04-28  13:21:07        02:17    309    0.0     13388    706468    ./main
    4694   2021-04-28  13:21:08        02:18    308    0.0     13336    706468    ./main
    4694   2021-04-28  13:21:09        02:19    307    0.0     13336    706468    ./main
    4694   2021-04-28  13:21:10        02:20    307    0.0     13308    706468    ./main
    4694   2021-04-28  13:21:11        02:21    307    0.0     13324    706468    ./main
    4694   2021-04-28  13:21:12        02:22    306    0.0     13324    706468    ./main
    4694   2021-04-28  13:21:13        02:23    307    0.0     13324    706468    ./main
    4694   2021-04-28  13:21:14        02:24    306    0.0     14132    706468    ./main
    4694   2021-04-28  13:21:15        02:25    306    0.4     94352    977076    ./main
    4694   2021-04-28  13:21:16        02:26    309    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:17        02:27    312    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:18        02:28    315    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:19        02:29    318    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:20        02:30    322    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:21        02:31    324    1.3    261500    977076    ./main
    4694   2021-04-28  13:21:22        02:32    327    1.3    261760    977332    ./main
    4694   2021-04-28  13:21:23        02:33    331    1.3    263568    977332    ./main
    4694   2021-04-28  13:21:25        02:35    332    1.3    267248    977332    ./main
    4694   2021-04-28  13:21:26        02:36    335    1.3    276924    977332    ./main
    4694   2021-04-28  13:21:27        02:37    338    2.6    534788   1247940    ./main
    4694   2021-04-28  13:21:28        02:38    341    2.6    534788   1247940    ./main
    4694   2021-04-28  13:21:29        02:39    344    2.6    535176   1247940    ./main
    4694   2021-04-28  13:21:30        02:40    347    2.6    535388   1247940    ./main
    4694   2021-04-28  13:21:31        02:41    349    2.6    535388   1247940    ./main
    4694   2021-04-28  13:21:32        02:42    352    2.6    535388   1247940    ./main
    4694   2021-04-28  13:21:33        02:43    354    2.6    535388   1247940    ./main
    4694   2021-04-28  13:21:34        02:44    357    2.6    535888   1247940    ./main
    4694   2021-04-28  13:21:35        02:45    360    2.6    536148   1247940    ./main
    4694   2021-04-28  13:21:36        02:46    362    2.6    536148   1247940    ./main
    4694   2021-04-28  13:21:37        02:47    365    2.6    536148   1247940    ./main
    4694   2021-04-28  13:21:38        02:48    367    3.9    792600   1518548    ./main
    4694   2021-04-28  13:21:40        02:50    368    3.6    736972   1518548    ./main
    4694   2021-04-28  13:21:41        02:51    370    3.1    632524   1518548    ./main
    4694   2021-04-28  13:21:42        02:52    373    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:43        02:53    375    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:44        02:54    377    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:45        02:55    380    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:46        02:56    382    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:47        02:57    384    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:48        02:58    386    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:49        02:59    389    2.8    571084   1518548    ./main
    4694   2021-04-28  13:21:50        03:00    390    3.9    793076   1518548    ./main
    4694   2021-04-28  13:21:51        03:01    393    3.8    774304   1518548    ./main
    4694   2021-04-28  13:21:52        03:02    395    3.3    669856   1518548    ./main
    4694   2021-04-28  13:21:53        03:03    397    2.8    573600   1518548    ./main
    4694   2021-04-28  13:21:54        03:04    399    2.8    573600   1518548    ./main
    4694   2021-04-28  13:21:55        03:06    399    2.8    573600   1518548    ./main
    4694   2021-04-28  13:21:57        03:07    401    2.8    573600   1518548    ./main
    4694   2021-04-28  13:21:58        03:08    402    2.8    573600   1518548    ./main
    4694   2021-04-28  13:21:59        03:09    405    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:00        03:10    407    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:01        03:11    409    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:02        03:12    410    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:03        03:13    412    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:04        03:14    415    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:05        03:15    416    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:06        03:16    418    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:07        03:17    420    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:08        03:18    422    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:09        03:19    423    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:10        03:20    425    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:11        03:22    425    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:13        03:23    427    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:14        03:24    428    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:15        03:25    430    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:16        03:26    432    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:17        03:27    434    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:18        03:28    435    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:19        03:29    437    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:20        03:30    439    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:21        03:31    441    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:22        03:32    442    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:23        03:33    444    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:24        03:34    446    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:25        03:35    447    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:26        03:36    449    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:27        03:37    451    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:28        03:38    452    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:29        03:40    452    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:31        03:41    454    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:32        03:42    455    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:33        03:43    457    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:34        03:44    458    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:35        03:45    460    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:36        03:46    461    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:37        03:47    463    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:38        03:48    464    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:39        03:49    466    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:40        03:50    467    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:41        03:51    469    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:42        03:52    470    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:43        03:53    472    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:44        03:54    473    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:45        03:55    475    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:46        03:56    476    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:47        03:58    475    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:49        03:59    477    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:50        04:00    478    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:51        04:01    479    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:52        04:02    480    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:53        04:03    482    2.8    573600   1518548    ./main
    4694   2021-04-28  13:22:54        04:04    483    2.8    573600   1518548    ./main
